,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
2154,HS3705000001,HH13370009,2,2,3,13,2,2,4,92.39999999999999,3,1,1,10,1,3,4,4,2,1,7,10062.807446
2155,HS3705000002,HH14370005,2,2,3,11,2,2,4,92.39999999999999,3,1,2,10,1,3,4,4,3,3,6,9819.45
2156,HS3705000003,HH11370004,2,2,3,4,5,3,4,62.699999999999996,2,1,1,5,1,3,4,4,2,3,4,14763.113193
2157,HS3705000004,HH13370010,2,2,3,13,2,2,4,92.39999999999999,3,1,1,10,1,3,4,5,2,1,6,9665.994452
2158,HS3705000005,HH13370011,2,2,3,5,2,2,4,92.39999999999999,3,1,1,10,1,3,4,4,2,1,5,10486.09
2159,HS3705000006,HH11370005,2,2,3,12,4,2,4,75.89999999999999,2,1,1,7,1,3,4,2,3,1,3,9930.558265
2160,HS3705000007,HH11370006,2,2,3,14,3,2,4,75.89999999999999,2,1,1,7,1,3,4,5,2,1,4,14472.190402
2161,HS3705000008,HH11370007,2,2,3,15,5,2,4,75.89999999999999,2,1,1,7,1,3,4,1,3,1,3,11840.58
2162,HS3705000009,HH11370008,2,2,3,6,2,2,4,75.89999999999999,2,1,1,7,1,1,4,2,3,1,3,8239.973961
2163,HS3705000010,HH11370009,2,2,3,10,2,2,4,75.89999999999999,2,1,1,7,1,3,4,3,2,3,3,13249.211563
2164,HS3705000011,HH11370010,2,2,3,2,2,3,3,62.699999999999996,2,1,1,5,1,3,4,4,2,1,4,12368.010324
2165,HS3705000012,HH11370011,2,2,3,1,5,3,3,62.699999999999996,2,1,1,5,1,1,4,1,3,5,1,3088.7800437
2166,HS3705000013,HH11370012,2,2,3,1,5,3,3,62.699999999999996,2,1,1,5,1,1,4,1,2,1,3,10483.59
2167,HS3705000014,HH11370013,2,2,3,2,4,3,3,62.699999999999996,2,1,1,5,1,3,4,1,2,3,3,4576.401657
2168,HS3705000015,HH14370006,2,2,3,2,3,2,5,26.4,1,0,1,4,1,3,4,3,2,1,6,12118.626026
2169,HS3705000016,HH15370002,2,2,1,2,5,2,5,49.5,2,1,1,4,1,3,4,3,2,1,4,11411.78
2170,HS3705000017,HH14370007,2,2,2,2,2,2,5,82.5,3,1,1,8,1,3,4,4,2,1,5,14574.28
2171,HS3705000018,HH11370014,2,2,3,11,2,1,5,135.29999999999998,4,1,2,8,1,3,4,4,2,3,6,11827.060611
2172,HS3705000019,HH11370015,2,2,3,4,4,1,5,135.29999999999998,4,1,2,8,1,3,4,5,2,1,6,10764.57
2173,HS3705000020,HH11370016,2,2,3,6,4,1,5,135.29999999999998,4,1,2,8,1,3,4,5,2,3,6,13726.559292
2174,HS3705000021,HH13370012,2,2,2,1,6,1,1,85.8,2,1,1,8,2,1,3,1,3,3,1,5717.07
2175,HS3705000022,HH15370003,2,2,3,3,2,1,6,82.5,3,1,1,6,1,3,4,4,2,1,5,15909.53
2176,HS3705000023,HH12370012,2,2,1,2,5,3,1,72.6,2,1,1,7,5,1,3,1,3,5,1,18840.72
2177,HS3705000024,HH12370013,2,2,1,1,5,3,2,49.5,2,0,0,6,5,1,3,1,3,5,1,13485.15
2178,HS3705000025,HH12370014,2,2,1,2,5,3,4,92.39999999999999,3,1,1,7,1,3,4,2,2,1,2,10111.898115
2179,HS3705000026,HH12370015,2,2,1,2,5,3,2,92.39999999999999,3,1,1,6,1,3,4,3,2,1,1,15921.000068
2180,HS3705000027,HH12370016,2,2,1,2,5,3,2,125.39999999999999,3,1,1,7,1,3,4,4,2,1,2,16602.23
2181,HS3705000028,HH14370008,2,2,1,1,5,2,1,148.5,3,1,1,0,1,1,4,1,3,5,1,6042.51
2182,HS3705000029,HH13370013,2,2,1,1,5,1,1,66.0,2,1,1,8,2,1,3,4,2,3,2,13578.73
2183,HS3705000030,HH14370009,2,2,1,2,5,1,2,82.5,3,1,1,10,2,3,3,4,2,3,7,9469.7
2184,HS3705000031,HH13370014,2,2,1,1,6,2,3,99.0,3,1,1,14,2,1,3,1,3,3,1,5533.5
2185,HS3705000032,HH13370015,2,2,1,1,6,2,3,99.0,3,1,1,12,1,3,4,1,3,5,1,3371.634447
2186,HS3705000033,HH14370010,2,2,1,1,6,1,2,82.5,3,1,1,8,1,3,4,5,2,1,3,10630.99
